profile,depth,time,latitude,longitude,chlorophyll
,m,UTC,degrees_north,degrees_east,mg m-3
52954,10.0,2022-08-28T00:14:02Z,33.42259,-122.8049475,0.871090909090909
52955,10.0,2022-08-28T03:11:44Z,33.414567500000004,-122.8166875,1.2475384615384617
52956,10.0,2022-08-28T06:07:23Z,33.409602500000005,-122.8380025,1.296
52957,10.0,2022-08-28T09:03:34Z,33.404375,-122.85803250000001,1.1669999999999998
52958,10.0,2022-08-28T11:59:17Z,33.396879999999996,-122.8640675,0.9714545454545458
52959,10.0,2022-08-28T14:47:34Z,33.3890725,-122.8695275,0.7866
52960,10.0,2022-08-28T17:37:02Z,33.383772500000006,-122.881275,0.7000909090909091
52961,10.0,2022-08-28T20:35:12Z,33.38035,-122.893985,0.7889999999999999
52962,10.0,2022-08-28T23:29:34Z,33.370635,-122.9017475,0.8596363636363638
52963,10.0,2022-08-29T02:19:24Z,33.3620625,-122.91398000000001,1.2874999999999999
52964,10.0,2022-08-29T05:08:50Z,33.3574325,-122.93012,1.5757500000000002
52965,10.0,2022-08-29T08:01:13Z,33.352505,-122.94834499999999,1.4007272727272728
52966,10.0,2022-08-29T10:49:52Z,33.345495,-122.961555,1.2338181818181817
52967,10.0,2022-08-29T13:40:22Z,33.336217500000004,-122.96977749999999,0.9012499999999998
52968,10.0,2022-08-29T16:31:35Z,33.330265000000004,-122.98100500000001,0.77875
52969,10.0,2022-08-29T19:26:20Z,33.325937499999995,-122.9967375,0.5387500000000001
52970,10.0,2022-08-29T22:18:24Z,33.319125,-123.0130075,0.6324545454545454
52971,10.0,2022-08-30T01:13:59Z,33.30952,-123.0237775,0.8827499999999998
52972,10.0,2022-08-30T04:04:39Z,33.30177,-123.03681999999999,1.3175
52973,10.0,2022-08-30T06:54:50Z,33.295562499999996,-123.0559425,1.4422499999999998
52974,10.0,2022-08-30T09:41:31Z,33.288244999999996,-123.07707500000001,1.2370909090909095
52975,10.0,2022-08-30T12:34:23Z,33.2778275,-123.0885775,0.8670000000000001
52976,10.0,2022-08-30T15:28:07Z,33.268085,-123.096165,0.9877500000000002
52977,10.0,2022-08-30T18:17:56Z,33.2617025,-123.11013,0.55125
52978,10.0,2022-08-30T21:10:29Z,33.2553175,-123.1310375,0.54725
52979,10.0,2022-08-31T00:02:49Z,33.243990000000004,-123.1474375,0.6496363636363636
52980,10.0,2022-08-31T02:59:47Z,33.23339,-123.1596475,0.584
52981,10.0,2022-08-31T05:47:32Z,33.2292275,-123.17501250000001,0.66125
52982,10.0,2022-08-31T08:38:41Z,33.223639999999996,-123.19001750000001,0.6445
52983,10.0,2022-08-31T11:27:10Z,33.2144925,-123.204655,0.7286666666666668
52984,10.0,2022-08-31T14:18:56Z,33.20318,-123.2187,0.899076923076923
52985,10.0,2022-08-31T17:07:18Z,33.1958875,-123.23398,0.5508000000000001
52986,10.0,2022-08-31T19:58:22Z,33.18914,-123.25023,0.441
52987,10.0,2022-08-31T22:46:23Z,33.18149,-123.266405,0.4736999999999999
52988,10.0,2022-09-01T01:32:50Z,33.169075,-123.278235,0.9973636363636363
52989,10.0,2022-09-01T04:20:24Z,33.16091,-123.2939925,1.5761999999999998
52990,10.0,2022-09-01T07:10:16Z,33.1560325,-123.31035,1.1888181818181818
52991,10.0,2022-09-01T09:59:18Z,33.1490875,-123.32627249999999,1.0030909090909093
52992,10.0,2022-09-01T12:51:36Z,33.13793,-123.338915,0.6875454545454546
52993,10.0,2022-09-01T15:46:22Z,33.1271125,-123.35757749999999,0.5652500000000001
52994,10.0,2022-09-01T18:43:14Z,33.121685,-123.3764275,0.45030000000000003
52995,10.0,2022-09-01T21:41:00Z,33.114055,-123.38851500000001,0.5040000000000001
52996,10.0,2022-09-02T00:34:53Z,33.10044,-123.40017,0.742
52997,10.0,2022-09-02T03:25:12Z,33.0909125,-123.4184,0.9174545454545455
52998,10.0,2022-09-02T06:13:22Z,33.0840475,-123.43571,0.8427
52999,10.0,2022-09-02T09:04:17Z,33.07814,-123.450755,0.6775000000000001
53000,10.0,2022-09-02T12:00:47Z,33.068847500000004,-123.46321,0.7802727272727273
53001,10.0,2022-09-02T14:51:28Z,33.0594425,-123.476735,0.37199999999999994
53002,10.0,2022-09-02T17:36:08Z,33.05126,-123.4901075,0.24630000000000002
53003,10.0,2022-09-02T20:27:36Z,33.047475,-123.501925,0.22254545454545455
53004,10.0,2022-09-02T23:22:48Z,33.0396925,-123.50795,0.22324999999999998
53005,10.0,2022-09-03T02:13:16Z,33.0302375,-123.5166,0.308
53006,10.0,2022-09-03T04:57:49Z,33.02284,-123.5278275,0.7443000000000001
53007,10.0,2022-09-03T07:52:38Z,33.014125,-123.5350025,0.6193333333333333
53008,10.0,2022-09-03T10:45:22Z,33.0089025,-123.544625,0.2991000000000001
53009,10.0,2022-09-03T13:33:17Z,33.00188,-123.55403749999999,0.27364285714285713
53010,10.0,2022-09-03T16:23:36Z,32.9942775,-123.56574499999999,0.21790909090909089
53011,10.0,2022-09-03T19:11:36Z,32.9888725,-123.578555,0.20072727272727275
53012,10.0,2022-09-03T21:59:04Z,32.9851975,-123.589,0.20500000000000004
53013,10.0,2022-09-04T00:45:06Z,32.978905,-123.5962025,0.24081818181818182
53014,10.0,2022-09-04T03:30:58Z,32.9719625,-123.60528,0.29250000000000004
53015,10.0,2022-09-04T06:14:14Z,32.963319999999996,-123.6141775,0.30463636363636365
53016,10.0,2022-09-04T09:00:45Z,32.95605,-123.621625,0.2367272727272727
53017,10.0,2022-09-04T11:50:54Z,32.950025,-123.628055,0.23330769230769233
53018,10.0,2022-09-04T14:37:00Z,32.9426025,-123.63532000000001,0.22739999999999996
53019,10.0,2022-09-04T17:25:07Z,32.9381875,-123.6431225,0.20650000000000002
53020,10.0,2022-09-04T20:11:37Z,32.9334475,-123.65062499999999,0.3362727272727272
53021,10.0,2022-09-04T22:58:48Z,32.92635,-123.657695,0.6119999999999999
53022,10.0,2022-09-05T01:49:58Z,32.915555,-123.66601,0.42425
53023,10.0,2022-09-05T04:37:18Z,32.9045775,-123.675015,0.2565
53024,10.0,2022-09-05T07:22:44Z,32.897275,-123.68167749999999,0.24874999999999994
53025,10.0,2022-09-05T10:11:08Z,32.89451,-123.6846375,0.2487272727272727
53026,10.0,2022-09-05T12:59:40Z,32.891572499999995,-123.68484749999999,0.2506363636363637
53027,10.0,2022-09-05T15:44:21Z,32.8889575,-123.68743,0.3507272727272728
53028,10.0,2022-09-05T18:28:54Z,32.888172499999996,-123.6921625,0.2590909090909091
53029,10.0,2022-09-05T21:18:26Z,32.8867575,-123.69759499999999,0.23181818181818184
53030,10.0,2022-09-06T00:04:34Z,32.8850075,-123.70308,0.40418181818181825
53031,10.0,2022-09-06T02:49:57Z,32.8806,-123.70953,0.7041
53032,10.0,2022-09-06T05:37:06Z,32.874427499999996,-123.7207675,0.48081818181818187
53033,10.0,2022-09-06T08:23:28Z,32.867374999999996,-123.734055,0.2561538461538461
53034,10.0,2022-09-06T11:11:26Z,32.861115,-123.7438875,0.22174999999999997
53035,10.0,2022-09-06T13:59:44Z,32.8578825,-123.7523325,0.218
53036,10.0,2022-09-06T16:45:03Z,32.8562975,-123.758205,0.20225
53037,10.0,2022-09-06T19:27:09Z,32.852265,-123.7625525,0.19050000000000003
53038,10.0,2022-09-06T22:10:32Z,32.84645,-123.7675,0.198
52954,20.0,2022-08-28T00:14:02Z,33.42259,-122.8049475,1.12675
52955,20.0,2022-08-28T03:11:44Z,33.414567500000004,-122.8166875,1.2907499999999998
52956,20.0,2022-08-28T06:07:23Z,33.409602500000005,-122.8380025,1.365
52957,20.0,2022-08-28T09:03:34Z,33.404375,-122.85803250000001,1.14925
52958,20.0,2022-08-28T11:59:17Z,33.396879999999996,-122.8640675,1.0126363636363636
52959,20.0,2022-08-28T14:47:34Z,33.3890725,-122.8695275,1.0317272727272728
52960,20.0,2022-08-28T17:37:02Z,33.383772500000006,-122.881275,0.9377999999999999
52961,20.0,2022-08-28T20:35:12Z,33.38035,-122.893985,0.9498
52962,20.0,2022-08-28T23:29:34Z,33.370635,-122.9017475,1.129
52963,20.0,2022-08-29T02:19:24Z,33.3620625,-122.91398000000001,1.582615384615385
52964,20.0,2022-08-29T05:08:50Z,33.3574325,-122.93012,1.8065454545454545
52965,20.0,2022-08-29T08:01:13Z,33.352505,-122.94834499999999,1.686
52966,20.0,2022-08-29T10:49:52Z,33.345495,-122.961555,1.264090909090909
52967,20.0,2022-08-29T13:40:22Z,33.336217500000004,-122.96977749999999,0.957272727272727
52968,20.0,2022-08-29T16:31:35Z,33.330265000000004,-122.98100500000001,0.947
52969,20.0,2022-08-29T19:26:20Z,33.325937499999995,-122.9967375,0.9067500000000002
52970,20.0,2022-08-29T22:18:24Z,33.319125,-123.0130075,1.086857142857143
52971,20.0,2022-08-30T01:13:59Z,33.30952,-123.0237775,1.1037272727272727
52972,20.0,2022-08-30T04:04:39Z,33.30177,-123.03681999999999,1.478076923076923
52973,20.0,2022-08-30T06:54:50Z,33.295562499999996,-123.0559425,1.4953636363636365
52974,20.0,2022-08-30T09:41:31Z,33.288244999999996,-123.07707500000001,1.4247272727272728
52975,20.0,2022-08-30T12:34:23Z,33.2778275,-123.0885775,1.0155882352941177
52976,20.0,2022-08-30T15:28:07Z,33.268085,-123.096165,1.1335
52977,20.0,2022-08-30T18:17:56Z,33.2617025,-123.11013,0.9932500000000001
52978,20.0,2022-08-30T21:10:29Z,33.2553175,-123.1310375,0.887
52979,20.0,2022-08-31T00:02:49Z,33.243990000000004,-123.1474375,1.25075
52980,20.0,2022-08-31T02:59:47Z,33.23339,-123.1596475,1.9746000000000001
52981,20.0,2022-08-31T05:47:32Z,33.2292275,-123.17501250000001,1.8509999999999998
52982,20.0,2022-08-31T08:38:41Z,33.223639999999996,-123.19001750000001,1.2812999999999999
52983,20.0,2022-08-31T11:27:10Z,33.2144925,-123.204655,0.9471
52984,20.0,2022-08-31T14:18:56Z,33.20318,-123.2187,1.6276363636363642
52985,20.0,2022-08-31T17:07:18Z,33.1958875,-123.23398,1.242
52986,20.0,2022-08-31T19:58:22Z,33.18914,-123.25023,1.2392727272727273
52987,20.0,2022-08-31T22:46:23Z,33.18149,-123.266405,1.0815
52988,20.0,2022-09-01T01:32:50Z,33.169075,-123.278235,1.9521000000000002
52989,20.0,2022-09-01T04:20:24Z,33.16091,-123.2939925,1.6290000000000004
52990,20.0,2022-09-01T07:10:16Z,33.1560325,-123.31035,1.7162727272727272
52991,20.0,2022-09-01T09:59:18Z,33.1490875,-123.32627249999999,1.5010000000000001
52992,20.0,2022-09-01T12:51:36Z,33.13793,-123.338915,1.337307692307692
52993,20.0,2022-09-01T15:46:22Z,33.1271125,-123.35757749999999,0.8392499999999999
52994,20.0,2022-09-01T18:43:14Z,33.121685,-123.3764275,1.3467272727272728
52995,20.0,2022-09-01T21:41:00Z,33.114055,-123.38851500000001,1.158818181818182
52996,20.0,2022-09-02T00:34:53Z,33.10044,-123.40017,1.0911818181818183
52997,20.0,2022-09-02T03:25:12Z,33.0909125,-123.4184,1.11475
52998,20.0,2022-09-02T06:13:22Z,33.0840475,-123.43571,0.84075
52999,20.0,2022-09-02T09:04:17Z,33.07814,-123.450755,0.9470000000000001
53000,20.0,2022-09-02T12:00:47Z,33.068847500000004,-123.46321,0.7804615384615385
53001,20.0,2022-09-02T14:51:28Z,33.0594425,-123.476735,0.3962727272727273
53002,20.0,2022-09-02T17:36:08Z,33.05126,-123.4901075,0.31963636363636366
53003,20.0,2022-09-02T20:27:36Z,33.047475,-123.501925,0.2575
53004,20.0,2022-09-02T23:22:48Z,33.0396925,-123.50795,0.26238461538461544
53005,20.0,2022-09-03T02:13:16Z,33.0302375,-123.5166,0.35236363636363643
53006,20.0,2022-09-03T04:57:49Z,33.02284,-123.5278275,0.813
53007,20.0,2022-09-03T07:52:38Z,33.014125,-123.5350025,0.6368571428571428
53008,20.0,2022-09-03T10:45:22Z,33.0089025,-123.544625,0.2988461538461539
53009,20.0,2022-09-03T13:33:17Z,33.00188,-123.55403749999999,0.27409090909090916
53010,20.0,2022-09-03T16:23:36Z,32.9942775,-123.56574499999999,0.2423076923076923
53011,20.0,2022-09-03T19:11:36Z,32.9888725,-123.578555,0.22675
53012,20.0,2022-09-03T21:59:04Z,32.9851975,-123.589,0.2475
53013,20.0,2022-09-04T00:45:06Z,32.978905,-123.5962025,0.2733
53014,20.0,2022-09-04T03:30:58Z,32.9719625,-123.60528,0.36199999999999993
53015,20.0,2022-09-04T06:14:14Z,32.963319999999996,-123.6141775,0.33125
53016,20.0,2022-09-04T09:00:45Z,32.95605,-123.621625,0.23884615384615385
53017,20.0,2022-09-04T11:50:54Z,32.950025,-123.628055,0.23999999999999996
53018,20.0,2022-09-04T14:37:00Z,32.9426025,-123.63532000000001,0.23290909090909084
53019,20.0,2022-09-04T17:25:07Z,32.9381875,-123.6431225,0.44307692307692303
53020,20.0,2022-09-04T20:11:37Z,32.9334475,-123.65062499999999,0.7396363636363638
53021,20.0,2022-09-04T22:58:48Z,32.92635,-123.657695,0.78
53022,20.0,2022-09-05T01:49:58Z,32.915555,-123.66601,0.7178181818181817
53023,20.0,2022-09-05T04:37:18Z,32.9045775,-123.675015,0.2653636363636364
53024,20.0,2022-09-05T07:22:44Z,32.897275,-123.68167749999999,0.25425000000000003
53025,20.0,2022-09-05T10:11:08Z,32.89451,-123.6846375,0.2820000000000001
53026,20.0,2022-09-05T12:59:40Z,32.891572499999995,-123.68484749999999,0.4077
53027,20.0,2022-09-05T15:44:21Z,32.8889575,-123.68743,0.4479
53028,20.0,2022-09-05T18:28:54Z,32.888172499999996,-123.6921625,0.4821818181818182
53029,20.0,2022-09-05T21:18:26Z,32.8867575,-123.69759499999999,0.31400000000000006
53030,20.0,2022-09-06T00:04:34Z,32.8850075,-123.70308,0.68775
53031,20.0,2022-09-06T02:49:57Z,32.8806,-123.70953,0.9115000000000001
53032,20.0,2022-09-06T05:37:06Z,32.874427499999996,-123.7207675,0.70375
53033,20.0,2022-09-06T08:23:28Z,32.867374999999996,-123.734055,0.46430769230769237
53034,20.0,2022-09-06T11:11:26Z,32.861115,-123.7438875,0.228
53035,20.0,2022-09-06T13:59:44Z,32.8578825,-123.7523325,0.23127272727272724
53036,20.0,2022-09-06T16:45:03Z,32.8562975,-123.758205,0.2175
53037,20.0,2022-09-06T19:27:09Z,32.852265,-123.7625525,0.21436363636363637
53038,20.0,2022-09-06T22:10:32Z,32.84645,-123.7675,0.22924999999999998
52954,30.0,2022-08-28T00:14:02Z,33.42259,-122.8049475,1.4997272727272728
52955,30.0,2022-08-28T03:11:44Z,33.414567500000004,-122.8166875,1.8345000000000002
52956,30.0,2022-08-28T06:07:23Z,33.409602500000005,-122.8380025,1.3989
52957,30.0,2022-08-28T09:03:34Z,33.404375,-122.85803250000001,1.1377500000000003
52958,30.0,2022-08-28T11:59:17Z,33.396879999999996,-122.8640675,1.2673636363636367
52959,30.0,2022-08-28T14:47:34Z,33.3890725,-122.8695275,1.1169
52960,30.0,2022-08-28T17:37:02Z,33.383772500000006,-122.881275,1.2057272727272728
52961,30.0,2022-08-28T20:35:12Z,33.38035,-122.893985,1.3091538461538463
52962,30.0,2022-08-28T23:29:34Z,33.370635,-122.9017475,1.5946363636363636
52963,30.0,2022-08-29T02:19:24Z,33.3620625,-122.91398000000001,1.764
52964,30.0,2022-08-29T05:08:50Z,33.3574325,-122.93012,1.408090909090909
52965,30.0,2022-08-29T08:01:13Z,33.352505,-122.94834499999999,1.4438181818181821
52966,30.0,2022-08-29T10:49:52Z,33.345495,-122.961555,1.65175
52967,30.0,2022-08-29T13:40:22Z,33.336217500000004,-122.96977749999999,1.4198181818181816
52968,30.0,2022-08-29T16:31:35Z,33.330265000000004,-122.98100500000001,1.2016363636363638
52969,30.0,2022-08-29T19:26:20Z,33.325937499999995,-122.9967375,1.23975
52970,30.0,2022-08-29T22:18:24Z,33.319125,-123.0130075,1.4082857142857144
52971,30.0,2022-08-30T01:13:59Z,33.30952,-123.0237775,1.3775454545454549
52972,30.0,2022-08-30T04:04:39Z,33.30177,-123.03681999999999,1.50525
52973,30.0,2022-08-30T06:54:50Z,33.295562499999996,-123.0559425,1.5384545454545453
52974,30.0,2022-08-30T09:41:31Z,33.288244999999996,-123.07707500000001,1.2556666666666667
52975,30.0,2022-08-30T12:34:23Z,33.2778275,-123.0885775,1.1946
52976,30.0,2022-08-30T15:28:07Z,33.268085,-123.096165,1.257
52977,30.0,2022-08-30T18:17:56Z,33.2617025,-123.11013,1.187
52978,30.0,2022-08-30T21:10:29Z,33.2553175,-123.1310375,1.4117499999999998
52979,30.0,2022-08-31T00:02:49Z,33.243990000000004,-123.1474375,1.9494999999999998
52980,30.0,2022-08-31T02:59:47Z,33.23339,-123.1596475,2.0937
52981,30.0,2022-08-31T05:47:32Z,33.2292275,-123.17501250000001,1.5365454545454547
52982,30.0,2022-08-31T08:38:41Z,33.223639999999996,-123.19001750000001,1.5813333333333337
52983,30.0,2022-08-31T11:27:10Z,33.2144925,-123.204655,1.362818181818182
52984,30.0,2022-08-31T14:18:56Z,33.20318,-123.2187,1.0936363636363635
52985,30.0,2022-08-31T17:07:18Z,33.1958875,-123.23398,1.4679000000000004
52986,30.0,2022-08-31T19:58:22Z,33.18914,-123.25023,1.5396
52987,30.0,2022-08-31T22:46:23Z,33.18149,-123.266405,1.595666666666667
52988,30.0,2022-09-01T01:32:50Z,33.169075,-123.278235,1.4040000000000001
52989,30.0,2022-09-01T04:20:24Z,33.16091,-123.2939925,1.3443
52990,30.0,2022-09-01T07:10:16Z,33.1560325,-123.31035,2.1195
52991,30.0,2022-09-01T09:59:18Z,33.1490875,-123.32627249999999,1.1735454545454547
52992,30.0,2022-09-01T12:51:36Z,33.13793,-123.338915,1.4233846153846155
52993,30.0,2022-09-01T15:46:22Z,33.1271125,-123.35757749999999,1.2436363636363639
52994,30.0,2022-09-01T18:43:14Z,33.121685,-123.3764275,0.9275454545454547
52995,30.0,2022-09-01T21:41:00Z,33.114055,-123.38851500000001,1.501909090909091
52996,30.0,2022-09-02T00:34:53Z,33.10044,-123.40017,1.0006363636363635
52997,30.0,2022-09-02T03:25:12Z,33.0909125,-123.4184,1.4579999999999997
52998,30.0,2022-09-02T06:13:22Z,33.0840475,-123.43571,1.2267000000000001
52999,30.0,2022-09-02T09:04:17Z,33.07814,-123.450755,0.76575
53000,30.0,2022-09-02T12:00:47Z,33.068847500000004,-123.46321,0.47918181818181826
53001,30.0,2022-09-02T14:51:28Z,33.0594425,-123.476735,0.4448181818181818
53002,30.0,2022-09-02T17:36:08Z,33.05126,-123.4901075,0.8993333333333333
53003,30.0,2022-09-02T20:27:36Z,33.047475,-123.501925,0.3785454545454546
53004,30.0,2022-09-02T23:22:48Z,33.0396925,-123.50795,0.8645000000000002
53005,30.0,2022-09-03T02:13:16Z,33.0302375,-123.5166,0.7335
53006,30.0,2022-09-03T04:57:49Z,33.02284,-123.5278275,1.2252
53007,30.0,2022-09-03T07:52:38Z,33.014125,-123.5350025,0.5531538461538462
53008,30.0,2022-09-03T10:45:22Z,33.0089025,-123.544625,0.32025000000000003
53009,30.0,2022-09-03T13:33:17Z,33.00188,-123.55403749999999,0.33390000000000003
53010,30.0,2022-09-03T16:23:36Z,32.9942775,-123.56574499999999,0.311
