,sat_time,matched_lat,matched_lon,matched_chla,spatial_dist,time_diff,glider_time
0,,,,,,,
0,,,,,,,
0,,,,,,,
0,,,,,,,
0,,,,,,,
0,,,,,,,
0,,,,,,,
0,,,,,,,
0,,,,,,,
0,,,,,,,
0,,,,,,,
0,,,,,,,
0,,,,,,,
0,,,,,,,
0,,,,,,,
0,,,,,,,
0,,,,,,,
0,,,,,,,
0,,,,,,,
0,,,,,,,
0,,,,,,,
0,,,,,,,
0,,,,,,,
0,,,,,,,
0,,,,,,,
1,2022-09-01,33.270833333333336,-123.14583333333334,0.6489651,2.980918622795243,0 days 23:57:11,
4,2022-09-01,33.22916666666667,-123.1875,0.64702415,2.638011244134879,0 days 21:00:13,
4,2022-09-01,33.22916666666667,-123.1875,0.64702415,1.1639899232471373,0 days 18:12:28,
3,2022-09-01,33.22916666666667,-123.1875,0.64702415,0.6563390504853561,0 days 15:21:19,
3,2022-09-01,33.22916666666667,-123.1875,0.64702415,2.2816771812482837,0 days 12:32:50,
5,2022-09-01,33.1875,-123.1875,0.6456512,3.3894341478037973,0 days 09:41:04,
3,2022-09-01,33.1875,-123.1875,0.6456512,4.432989743628447,0 days 06:52:42,
3,2022-09-01,33.1875,-123.1875,0.6456512,5.852661497524737,0 days 04:01:38,
3,2022-09-01,33.1875,-123.1875,0.6456512,7.388667935025456,0 days 01:13:37,
4,2022-09-01,33.10416666666667,-123.22916666666669,0.5638184,8.53142608518062,0 days 01:32:50,
4,2022-09-01,33.10416666666667,-123.22916666666669,0.5638184,8.729052350284551,0 days 04:20:24,
0,2022-09-01,33.10416666666667,-123.22916666666669,0.5638184,9.512081353387153,0 days 07:10:16,2022-09-01T07:10:16Z
1,2022-09-01,33.0625,-123.3125,0.55167514,9.688767289924279,0 days 09:59:18,
1,2022-09-01,33.0625,-123.3125,0.55167514,8.72148271440005,0 days 12:51:36,
0,2022-09-01,33.0625,-123.3125,0.55167514,8.310161117524974,0 days 15:46:22,2022-09-01T15:46:22Z
0,2022-09-01,33.0625,-123.3125,0.55167514,8.871471527005445,0 days 18:43:14,2022-09-01T18:43:14Z
0,2022-09-01,33.0625,-123.3125,0.55167514,9.11355163146664,0 days 21:41:00,2022-09-01T21:41:00Z
15,2022-09-03,33.10416666666667,-123.39583333333334,0.45632696,0.5785279017644399,0 days 23:25:07,
14,2022-09-03,33.10416666666667,-123.4375,0.5687902,2.3108141177344796,0 days 20:34:48,
12,2022-09-03,33.10416666666667,-123.4375,0.5687902,2.237587349742833,0 days 17:46:38,
21,2022-09-03,33.0625,-123.4375,0.48494554,2.130895122343105,0 days 14:55:43,
20,2022-09-03,33.0625,-123.47916666666669,0.28307822,1.6480184686842196,0 days 11:59:13,
12,2022-09-03,33.0625,-123.47916666666669,0.28307822,0.4081111266995688,0 days 09:08:32,
15,2022-09-03,33.0625,-123.47916666666669,0.28307822,1.611840431648772,0 days 06:23:52,
14,2022-09-03,33.0625,-123.52083333333334,0.28307822,2.428025362886843,0 days 03:32:24,
20,2022-09-03,33.020833333333336,-123.52083333333334,0.15790406,2.4131491057620966,0 days 00:37:12,
20,2022-09-03,33.020833333333336,-123.52083333333334,0.15790406,1.11544014182157,0 days 02:13:16,
15,2022-09-03,33.020833333333336,-123.52083333333334,0.15790406,0.690323321384431,0 days 04:57:49,
15,2022-09-03,33.020833333333336,-123.52083333333334,0.15790406,1.5186204629210176,0 days 07:52:38,
14,2022-09-03,33.020833333333336,-123.5625,0.21435222,2.1308155983108508,0 days 10:45:22,
50,2022-09-04,33.020833333333336,-123.5625,0.25317863,2.2458269186859092,,
47,2022-09-04,32.97916666666667,-123.5625,0.13583294,1.7030802087555774,,
57,2022-09-04,32.97916666666667,-123.5625,0.13583294,1.8467972891649769,,
56,2022-09-04,32.97916666666667,-123.60416666666669,0.15466793,1.5675167168985487,,
14,2022-09-04,32.97916666666667,-123.60416666666669,0.15466793,0.7450183492190711,0 days 00:45:06,
12,2022-09-04,32.97916666666667,-123.60416666666669,0.15466793,0.8057207942957041,0 days 03:30:58,
15,2022-09-04,32.97916666666667,-123.60416666666669,0.15466793,1.991097549963202,0 days 06:14:14,
21,2022-09-04,32.9375,-123.60416666666669,0.16148084,2.6262955940188,0 days 09:00:45,
20,2022-09-04,32.9375,-123.64583333333334,0.16148084,2.1664245841655325,0 days 11:50:54,
