profile,depth,time,latitude,longitude,chlorophyll
,m,UTC,degrees_north,degrees_east,mg m-3
55817,10.0,2023-06-30T00:52:25Z,34.2572075,-120.55573,1.6426153846153848
55818,10.0,2023-06-30T03:58:54Z,34.25009,-120.537525,1.5636
55819,10.0,2023-06-30T07:00:14Z,34.2485375,-120.516155,1.8980000000000001
55820,10.0,2023-06-30T09:56:10Z,34.24785,-120.4872425,1.7212500000000002
55821,10.0,2023-06-30T12:45:24Z,34.246129999999994,-120.4582775,1.5340909090909092
55822,10.0,2023-06-30T15:25:42Z,34.2435525,-120.43620250000001,1.35325
55823,10.0,2023-06-30T18:06:05Z,34.240285,-120.414965,1.415
55824,10.0,2023-06-30T20:42:06Z,34.23317,-120.38898,2.079818181818182
55825,10.0,2023-06-30T23:16:11Z,34.2236725,-120.3613375,5.00725
55826,10.0,2023-07-01T01:58:50Z,34.2151225,-120.3392525,7.93825
55827,10.0,2023-07-01T04:42:38Z,34.21045,-120.3217175,6.539
55828,10.0,2023-07-01T07:27:50Z,34.206154999999995,-120.29866249999999,3.9258750000000004
55829,10.0,2023-07-01T10:16:43Z,34.2017475,-120.26787250000001,6.324000000000002
55830,10.0,2023-07-01T13:11:04Z,34.197404999999996,-120.23255,7.604699999999999
55831,10.0,2023-07-01T16:17:48Z,34.1916275,-120.192595,8.238299999999999
55832,10.0,2023-07-01T19:18:44Z,34.1848825,-120.15658,6.765750000000001
55833,10.0,2023-07-01T22:24:42Z,34.1999775,-120.1295025,6.1983749999999995
55834,10.0,2023-07-02T01:28:53Z,34.2270125,-120.1192575,9.0725
55835,10.0,2023-07-02T04:28:53Z,34.254795,-120.11623750000001,6.615999999999999
55836,10.0,2023-07-02T07:28:44Z,34.278785,-120.1080575,6.41723076923077
55837,10.0,2023-07-02T10:28:27Z,34.29374,-120.09042249999999,7.8125
55838,10.0,2023-07-02T13:32:36Z,34.296890000000005,-120.0723725,5.95823076923077
55839,10.0,2023-07-02T16:35:57Z,34.295100000000005,-120.0585775,5.807727272727273
55840,10.0,2023-07-02T19:36:42Z,34.29085,-120.0433575,5.81225
55841,10.0,2023-07-02T22:38:04Z,34.28554,-120.02241000000001,8.001272727272728
55842,10.0,2023-07-03T01:40:52Z,34.2823925,-119.99865249999999,10.36275
55843,10.0,2023-07-03T04:41:44Z,34.279325,-119.9778775,8.551363636363636
55844,10.0,2023-07-03T07:42:49Z,34.274625,-119.95594750000001,6.852
55845,10.0,2023-07-03T10:43:04Z,34.2684525,-119.9251275,6.073909090909091
55846,10.0,2023-07-03T13:47:06Z,34.2785275,-119.92771499999999,6.732818181818183
55847,10.0,2023-07-03T16:48:10Z,34.270105,-119.9238125,4.569
55848,10.0,2023-07-03T19:50:16Z,34.284912500000004,-119.91667000000001,7.199999999999999
55849,10.0,2023-07-03T22:49:42Z,34.2764,-119.912925,7.862454545454545
55850,10.0,2023-07-04T01:48:44Z,34.26526,-119.928685,6.8776363636363635
